OPDT,RCOURSECD,RNO,CLOSETM,投票時刻,勝式,投票方式,S,組番１,組番２,組番３,組番４,T,組番５,組番６,組番７,組番８
20210101,14,1,847,3,３連単,三連単AB,0,1-2=5,1-2=6,1-5=6,1-2=4,1.0,1-2=5,1-2=6,1-5=6,1-2=4
20210101,21,1,850,3,３連単,三連単AB,0,1-4=5,1-3=5,1-3=4,1-2=5,1.0,1-5=4,1-5=3,1-4=3,1-5=2
20210101,18,1,853,3,３連単,三連単AB,0,1-3=4,1-2=3,1-2=4,1-3=5,1.0,1-3=4,1-3=2,1-4=2,1-3=5
20210101,14,2,916,3,３連単,三連単AB,0,1-3=4,2-3=4,1-2=4,3-4=5,4.0,4-3=1,4-3=2,4-1=2,4-3=5
20210101,21,2,919,3,３連単,三連単AB,0,1-3=4,1-4=5,3-4=5,1-2=4,4.0,4-1=3,4-1=5,4-3=5,4-1=2
20210101,18,2,922,3,３連単,三連単AB,0,1-5=6,1-2=6,1-2=5,1-3=6,1.0,1-6=5,1-6=2,1-5=2,1-6=3
20210101,14,3,945,3,３連単,三連単AB,0,1-4=5,1-2=5,1-2=4,1-5=6,1.0,1-5=4,1-5=2,1-4=2,1-5=6
20210101,21,3,948,3,３連単,三連単AB,0,1-3=5,2-3=5,1-2=3,3-5=6,3.0,3-5=1,3-5=2,3-1=2,3-5=6
20210101,18,3,951,3,３連単,三連単AB,0,1-3=4,1-4=6,1-3=6,1-2=4,1.0,1-4=3,1-4=6,1-3=6,1-4=2
20210101,17,1,1015,3,３連単,三連単AB,0,1-2=3,1-3=5,1-2=5,1-3=6,1.0,1-3=2,1-3=5,1-2=5,1-3=6
20210101,14,4,1016,3,３連単,三連単AB,0,1-3=4,1-2=4,2-3=4,1-4=6,4.0,4-1=3,4-1=2,4-3=2,4-1=6
20210101,21,4,1018,3,３連単,三連単AB,0,1-2=4,1-2=3,1-3=4,1-2=6,1.0,1-2=4,1-2=3,1-4=3,1-2=6
20210101,18,4,1023,3,３連単,三連単AB,0,1-3=6,1-2=3,1-2=6,1-3=5,1.0,1-3=6,1-3=2,1-6=2,1-3=5
20210101,10,1,1028,3,３連単,三連単AB,0,1-2=3,1-3=4,1-2=4,1-3=5,1.0,1-3=2,1-3=4,1-2=4,1-3=5
20210101,9,1,1031,3,３連単,三連単AB,0,1-3=5,1-4=5,1-3=4,1-2=5,1.0,1-5=3,1-5=4,1-3=4,1-5=2
20210101,17,2,1042,3,３連単,三連単AB,0,1-2=3,2-3=5,1-3=5,2-3=6,3.0,3-2=1,3-2=5,3-1=5,3-2=6
